x4911959_how_would_you_rate_your_ability_to_communicate_statistics_going_into_the_course_please_rate_your_answer_on_a_scale_of_1_an_indicative_of_lowest_ability_to_communicate_in_statistics_to_5_an_indicative_of_highest_ability_to_communicate_in_statistics,x4911960_how_would_you_rate_your_ability_to_communicate_statistics_after_the_course_please_rate_your_answer_on_a_scale_of_1_to_5_where_1_indicates_the_lowest_ability_to_communicate_statistics_and_5_indicates_the_highest_ability_to_communicate_statistics,x4911961_please_explain_your_choice_from_the_previous_question,x4911962_how_would_you_rate_your_ability_to_use_r_statistical_software_going_into_the_course_please_rate_your_answer_on_a_scale_of_1_an_indicative_of_lowest_ability_to_use_to_5_an_indicative_of_highest_ability_to_use,x4911963_how_would_you_rate_your_ability_to_use_r_statistical_software_after_the_course_please_rate_your_answer_on_a_scale_of_1_to_5_where_1_indicates_the_lowest_ability_to_use_r_and_5_indicates_the_highest_ability_to_use_r,x4911964_please_explain_your_choice_from_the_previous_question,x4911996_how_would_you_rate_your_understanding_of_the_statistical_concepts_in_each_module_after_completing_its_weekly_assignment_please_rate_your_answer_on_a_scale_of_1_to_5_where_1_indicates_the_lowest_ability_to_understand_the_statistical_concepts_and_5_indicates_the_highest_ability_to_understand_the_statistical_concepts,x4911966_please_explain_your_choice_from_the_previous_question,x4911965_how_would_you_rate_your_understanding_of_the_statistical_concepts_in_each_module_after_participating_in_its_weekly_tutorial_please_rate_your_answer_on_a_scale_of_1_to_5_where_1_indicates_the_lowest_ability_to_understand_the_statistical_concepts_and_5_indicates_the_highest_ability_to_understand_the_statistical_concepts,x4911999_please_explain_your_choice_from_the_previous_question,x4912006_how_much_attention_did_you_pay_to_ta_feedback_on_your_worksheet_and_on_your_assignment,x4912033_to_what_extent_do_you_agree_with_the_following_statement_the_statistical_examples_illustrated_in_this_course_helped_me_recognize_the_usefulness_relevance_and_value_of_learning_about_and_doing_statistics,x4912034_please_explain_your_choice_from_the_previous_question,x4912046_to_what_extent_do_you_agree_with_the_following_statement_the_infographic_assignment_improved_my_ability_to_communicate_the_ability_to_read_interpret_and_discuss_statistical_informationclearly_and_effectively,x4912035_please_explain_your_choice_from_the_previous_question,x4912152_think_about_your_overall_experience_working_collaboratively_with_other_students_in_this_course_on_the_infographic_assignment_what_aspects_of_this_assignment_did_you_enjoy_working_on_what_challenges_did_you_encounter_and_how_did_you_resolve_them_what_advice_would_you_give_to_future_students_who_will_be_working_on_a_collaborative_assignment_in_a_statistics_course,x4912177_how_has_this_course_contributed_to_your_understanding_of_the_subject_of_statistics_and_how_would_you_describe_your_overall_learning_experience
2,3,"A large portion of explaining the statistical code through the course was done through either R Modules or Formula's covered in class. I feel confident in my ability to solve these problems, but I label it a three as I still do have difficulites with some mathematical formulas, how to solve them along with interpreting data from datasets. Occasionally I still do find difficulties in analyzing the data and extrapolating the data necessary to solve a question set. 

 ",1,3,"I still find R difficult to navigate, and in retrospect I don't recall actually inputting code into R myself for large portions, but I found that using R as a site helped introduce me to very baseline ideas about R and what types of problems they aim to solve. ",3,"Some of the concepts I still don't feel the most confident, mostly in relation to which data to quantify for my formulas. I understand a majority of the formula's and the purposes, yet (mostly in the later weeks, 10 & 11 specifically) I found the formula's/theories quite confusing and plan on deeply revising before the exam. 

 ",4,"I've had health issues a large portion of the semester so I was unable to attend a majority of tutorials. However, the tutorials I was able to attend in the earlier portions of the semester I found the insight of the TA and explanations provided helped me thoroughly understand the concepts and their application(s). ",I didn't read the comments.,Agree,I've always been aware of the importance of stats as my family comes from a finance and business background. This course just expanded on prior knowledge and more of the mathematical functions of the course.,Neither agree nor disagree,"I am not a creative person when it comes to digital design and I found it pretty challenging to actually create a respectable infographic. But it is an assignment I have done in prior years, so I am already aware of the importance and role infographics have when it comes to read, interpret, and discuss information clearly and effectively. ","I found the assignment faulty as although I couldn't attend tutorials for my previosly mentioned health issues, I attempted to reach out to students who were assigned in my group. Ultimately I found it frustrating as my condition was no fault of my own, but I understand that this is pretty normal in group projects where face-to-face communication isn't often. ","Overall, besides complications with my health I have found that this course has given me a baseline understanding of statistics that I have never really had to explore in political science. I have used stats frequently in more practical settings, and while a majority of the stats formula's learned throughout the course I haven't used, the introduction to R and how to navigate it is something I plan to use as I pursue my masters at Waterloo next year. 

 "
3,5,"Although I had previously taken a Grade 12 Data Management course in high school and was already familiar with about half of the course topics, I quickly realized that my prior knowledge only scratched the surface. This course provided a much deeper and more comprehensive understanding of statistical concepts, allowing me to engage with a wider range of topics in greater depth. As a result, I feel significantly more confident in my ability to interpret and communicate statistical information effectively.",2,4,"I rated my ability to use R as a 2 before the course and a 4 after completing it. Prior to this course, I had never heard of R, let alone used it. However, throughout the term, we consistently used R for module assignments, which helped me become much more comfortable navigating the software. While we didn’t focus on coding in R, I learned how to interpret outputs such as graphs and statistical summaries, including measures like the mean and median. This exposure significantly improved my practical skills in using R for data analysis.",5,I would rate my understanding as a 5. The weekly modules were very effective in helping me review and reinforce the concepts covered in class. They also helped me remember key statistical terms and apply them with more confidence.,5,"I would rate my understanding as a 5. While the modules focused on using RStudio, the tutorials emphasized manual calculations using the formulas and theorems we learned in class. They were especially helpful because they allowed me to actively apply concepts, and the TA went over the answers at the end, which helped me assess my understanding in real time.",I always made sure to read all the comments and to talk to the TA if anything isn't clear.,Agree,"I agree with the statement. Throughout the course, real-life examples were used to demonstrate how statistical concepts can be applied in practical situations, which made the material feel more relevant and meaningful. These examples helped me see the real-world value of statistics and how it can be used to analyze data, support decisions, and better understand everyday phenomena. This made learning statistics more engaging and showed me its importance beyond the classroom.",Agree,"I agree with the statement. The infographic assignment helped me think more critically about how to organize and present statistical information in a clear and effective way. It encouraged me to focus on simplifying complex data, highlighting key messages, and using visuals to support understanding. Through this process, I gained a better understanding of how to interpret data and communicate important findings in a way that is both accurate and easy to follow.","Before this assignment, I hadn’t had the chance to talk to many people in the course, so I really enjoyed getting to know new classmates and working together. Collaborating as a group also made the workload feel more manageable and efficient. We didn’t face many major challenges, but one small issue we encountered was deciding on a color palette for the infographic. To resolve it, we held a quick vote and used the option that received the most support, which worked out well. My advice for future students is to stay open-minded and flexible when working in a group. Good communication and a willingness to compromise can make the process smoother and more enjoyable for everyone.","This course really helped me build a stronger understanding of statistics. I learned not just the basic concepts, but also how to apply them in real situations, which made the material feel more meaningful. Using R and working through assignments step by step helped me see how statistics works in practice. Overall, it was a really positive learning experience. I feel much more confident now in reading and understanding data than I did at the start of the course."
3,4,easy communicate with professer and ta,4,4,Follow instructions easy to understand.,4,By doing r markdown and going lecture to improve ,4,In tut ta help to understanding the concept very well,I took a quick look at the comments at the end.,Agree,It actually help,Agree,More clearly to see the data telling about,"Working on this infographic assignment with my group was a really enjoyable and enriching experience. I especially liked the creative part—designing the infographic and turning statistical results into a visual story. It made the data feel more alive and meaningful.

 

One challenge we faced was making sure everyone understood the R code and how it connected to the analysis. Some group members were more familiar with R than others, so we held a short call to walk through the code together and explain it in simple terms. It really helped build a sense of teamwork.","This course has greatly improved my understanding of statistics by connecting theory with real-life data analysis. I learned how to interpret data using visual tools like histograms and boxplots, and how to draw meaningful conclusions from statistical calculations such as confidence intervals and sampling distributions.

 

One of the most valuable aspects of the course was learning how to use R for data analysis. At first it felt intimidating, but the step-by-step activities and collaborative projects helped me build confidence.

 

Overall, my learning experience was both challenging and rewarding. The course made statistics feel more relevant and even creative, especially through projects like the infographic. I now feel more confident applying statistical thinking in other subjects and everyday life."
2,4,I feel like I have learned many different terms and formulas to help calculate and express statistics.,1,4,"I have never used R before this course, but now after using it, I feel very confident in my abilities with this software.",4,"I felt more confident after doing the weekly assignment for each module because it helped with practicing important concepts for that module, and especially for preparation for the midterm.",4,"The weekly tutorials were helpful and Dylan was a great TA. However, try to have TA's be in rooms closer proximity to each other to help them get from one class to another faster, for example if they have a tutorial in KN then immediately after have another in IB, since we lost a bit of time during the tutorial due to this and felt a bit rushed answering the questions at times.",I read the comments.,Agree,"The statistical examples used in this course helped me recognize these things by showing how these concepts appear in our everyday lives, highlighting the relevance, usefulness and value in taking this course and learning about statistics.",Agree,I agree that the infographic assignment improved my ability to communicate statistical information by helping me practice how to organize my information in a way to make sure the viewer can understand the information clearly.,"The most challenging part was being able to find time when everyone was able to work on this together and that everyone had different ideas on how to do things, as this would be an easier and effective task to do individually.","My overall learning experience has been positive, and this course has massively contributed to my understanding of statistics. I came into this course with interest in the subject but very limited knowledge about it. However, I now feel more confident with concepts of statistics, formulas and even real world applications of statistics as well"
4,4,Good,4,4,Good,4,Good,4,Good,I took a quick look at the comments at the end.,Agree,Good,Agree,Good,Good,Good
4,4,I can understand and solve some problems about probability in our life by using statistics knowledges.,3,3,I leaned that statistic have another way to analyze and explain.,4,"We have in-person tutorials, online tutorials, and videos. Also I can have practice questions and answer in each modules. ",5,Tutor are patient to answer any questions and show clear steps for each tut questions.,"I looked at the mark, then if it's lower than expected I look through the comments.",Agree,It can easy tell me the knowledge inside,Agree,I can use different way to get info,"I like using the R studio although I am not familiar with coding. We still can analyze stats questions on it.

when I meet some different real life probability questions, it may block my mind.

join each tut and study hard with friends together in each modules. ","Through this statistics course, I learned how to collect, analyze and interpret data, understand the application of statistics in daily life, and improve logical thinking and problem-solving skills."
5,5,"After taking this course, I have gained the ability to operate and understand R language. Before this, I knew nothing about computer languages at all.",3,3,"For some codes, I still feel confused. I don't have the ability to identify all the programs in R language yet. However, I can analyze the pictures by generating PDFs.",4,"I think homework is a part that can help me understand knowledge. However, some homework is rather difficult to design. For instance, the fifth assignment - the similar problem - has left me somewhat puzzled.",5,I can understand the weekly content very well. The lecture is very helpful to me.,I always made sure to read all the comments and to talk to the TA if anything isn't clear.,Strongly agree,"Through TA's feedback, I became aware of some mistakes. Even for the issues that I was very confident about, I now think that I need to conduct more in-depth research on statistics.",Agree,"I think the design of the infographic assignment is quite good. However, it is not a very good group assignment. This project is difficult to divide into tasks. Everyone has their own different ideas and the workload for each person varies greatly.","I appreciate the possibility of collaborating with other classmates, which is rarely available when studying mathematics and some other science courses. I encountered difficulties in communication. At the beginning, we couldn't hold many meetings because we couldn't find a common time. Therefore, most of the collaboration was done online. I suggest that future students should find a good leader and teammates when undertaking this project, and clearly define the division of labor and goals from the very beginning and keep pushing forward.","I think statistics is not very abstract. It really helped us understand data and models, and we learned a lot of practical experience in life. I think I will be willing to continue to delve deeper into learning statistics."
3,4,"I went into this course with some statistics knowledge from data management in high school, so some of the material was already familiar to me and I already knew how to communicate statistics to a certain degree. So, my answer for the previous question was based a bit on that, but also because I think that there is always something that I can improve on in my ability to communicate statistics. But, I would definitely consider it better and more knowledgeable than before starting this course.",1,4,"I do think that I am able to use the R statistical software after taking the course, maybe not in terms of writing any myself, but I feel like the instruction on how to proceed with the R code every week definitely made it in a way that would improve our ability to use it.",4,"I think that my understanding of the statistical concepts in each module after completing its weekly assignment did improve my understanding since if there was something that I may have not understood or needed more practice from in the lecture, I was able to apply those in the assignment. I didn't put a 5 because I feel that some of them focused on certain aspects of the module more than others.",5,I think that my understanding of statistical concepts in each module after participating in its weekly tutorial did improve since I felt that the tutorial covered a variety of questions from the module / week so we got to practice and apply what we learned as well as being able to ask other students or the TA about any questions we may be stuck on or need clarification on.,I read the comments.,Strongly agree,I think that the examples that were used in lecture (questions for the module) showed that the statistical concepts that we learned can be applied to real life situations. ,Agree,I think it improved my ability in terms of putting thought into how to properly display statistical data / concepts in a way that it isn't overwhelming and accessible to everyone (including those who do not have knowledge in statistics).,"I liked the infographic (even though it made me consider so many aspects).

A challenge was trying to follow all the guidelines of an effective infographic. In a collaboration sense, I think a challenge was that everyone seemed to be waiting for someone else to start something before they can start, so it was resolved by dividing roles and starting it myself.

Advice that I would give to future students who will be working on a collaborative assignment in a statistics course is to do your part.

On the note of collaboration, I think that having a group project closer to the end of the semester when everyone prioritized other assignments definitely affected the work distribution and the tendency to just do it last minute despite being in a group. ",This course has contributed to my understanding of the subject of statistics in terms of newer concepts and ways to interpret data. I would describe my overall learning experience as effective because I felt that the instructors and TAs did a lot in order for us to succeed in this course and I felt like I learned something new that added onto the knowledge of statistics that I entered this course with. 
3,2,NA,2,1,NA,3,NA,2,NA,"I looked at the mark, then if it's lower than expected I look through the comments.",Neither agree nor disagree,NA,Disagree,NA,NA,NA
3,4,I found that my ability to communicate statistical concepts improved as I gained more statistical knowledge ,1,2,"I didn't spend a lot of time learning R, most of my energy went into learning the concepts

 

prof. also said that learning R wasn't necessary ",4,I found that the weekly assignments were too easy compared to the in-class material and the lecture slides,4,The tutorials were helpful and the TA answered all of my questions,I took a quick look at the comments at the end.,Agree,I think modeling through R has made me enjoy statistics more ,Neither agree nor disagree,the assignment criteria was a bit vague,"we did not communicate that much or assign roles, maybe if there was time during the tutorials to get together and discuss it would have been smoother",I think it's helped me to better understand statistical concepts 
2,4,"I think I have gotten better at communicating statistics. The course has shaped my fundamentals for statistics properly and I feel very interested to continue learning, because I am genuinely invested in exploring and communicating statistics. This course had introduced me to a lot but also the Benford's Law that I keep reading about, so yes, this course has improved my abilities regarding statistics massively,",1,3,"I think R is a fascinating software. With Professor Asal's videos and in class demonstrations, I have been able to learn about R in an introductory level that makes me want to explore the language and software even more. But I feel like I still have a long way to learn R to be able to use it on my own, including reading and watching more tutorials and exploring more webpages to do plotting of various histograms, QQ plots, etc. on my own with out having aids from Professor Asal for future projects, even ones I want to research using Kaggle datasets.",4,"The modules were all doable, and the splitting of each module and progression from each module to the next was helpful. That structure vastly improved my ability to learn and engage with the content.",3,I have unfortunately missed some tutorials but the demo videos have helped me a lot.,I read the comments.,Strongly agree,"STA107 has introduced me to statistical concepts that makes me very interested in the field and discipline. With Professor Asal and the weekly assignments and even the infographic task, I have delved deeper into the importance of statistics in a theoretical and practical level.",Agree,"I think the infographic assignment helped me apply all the aspects/topics I have learnt. I think the infographic assignment helped me notice some gaps in my learning by forcing me to look at the songs data and fill in those gaps. I also think having a creative assignment was a great way to have fun with sample data and apply theoretical concepts practically, including furthering my understanding.","Working with other students in the course was amazing. Collaborating with statistics topics was cool, and I also got to meet a lot of people from my lecture and tutorial alike due to this assignment. The assignment itself was super interesting, and I think the biggest key to the assignment collaboration being successful is being open-minded, patient (not becoming demanding instantly, making group mates anxious), and communicating freely. Putting aside any thoughts of shyness and hesitation, with respect, we should approach each other. We should be open about all the suggestions and work our way through the assignment, breaking everything into doable components. Timely communication and breaking down the assignment into doable bits from the moment it is assigned is very important.","This course is the foundation of my understanding of statistics, and it is a strong one this time. I would like to further my understanding of statistics (and especially Benford's Law because it fascinates me) and work with real datasets (via Kaggle or another way) in the future for research. The learning experience was super refreshing. Along with the R assignments, every part of the course was intriguing and interesting in a way that encouraged me to learn more. I think I struggled at first to understand how to correctly study for the course, hence some low marks here and there, but now with all the assignments and supports from the teaching team, I feel like I have learnt statistics in an effective way while discovering equally effective learning strategies."
3,3,I think my communication skills is not really good since most of the time I don’t use communication skills very often.,3,3,I choose 3 because I only know how to follow the procedures in the video demonstration in each week.,4,they enhanced my understanding of the concept really well,3,I practiced from those questions. Got better understanding after attending those tutorials,I took a quick look at the comments at the end.,Agree,I can see how statistic become useful in our real life examples instead of just question on the paper.  ,Agree,Those questions indeed improved my ability since I need to have the knowledge to answer those questions,"I have question and I find it is very useful to discuss with the classmates on tutorials, I enjoy communicating and cooperate to achieve the goal. I will say practice more is really important. ",This course gives me an introduction of statistics and I think my overall experience is really joyful and inspiring 
3,4,"Through the lessons and tutorials, I was not only able to review the material given, but able to communicate using statistical terms and understand them.",4,4,"I was able to get used to R and understand how the code works and comes together to create charts, graphs, etc.",4,"From the lecture being incorporated into the assignments, I was able understand the material on a higher base of understanding",4,"From the lecture being incorporated into the weekly tutorial, I was able understand the material on a higher base of understanding and use my knowledge as best as I can on the material given.",I always made sure to read all the comments and to talk to the TA if anything isn't clear.,Agree,I agree that the examples in this course helped me understand the relevance and material given while learning statistics.,Agree,I was able to use my ability to communicate statistical information clearly and effectively,"I enjoyed working on the design, making the viewer's perspective more interested in the content they're looking at. I encountered some difficulty from R by finding some values, however, with the help of my group, we were able to solve and understand the material given to us. Some advice I would give future students who will be working on this type of assignment is to choose groups as early as possible so that you can give deadlines and dates on when to meet up and finish. ","This course has contributed my understanding as I may go into a statistics major, making my overall learning experience in this course great and a good view of how I should continue in my statistic major journey"
5,5,"I know how to communicate statistics through different graphs like histograms, scatter plots etc and I can use R to visualize data.",1,3,"Coming into the course, I had no knowledge of R. Now, after the course, I have some familiarity with R and can easily pick up on it if I decided to learn it to become fluent in it.",5,I had a strong understanding of the concepts after completing the module.,5,The tutorials were a good way to put my knowledge to a test and it led me to have a strong understanding of the concepts after leaving the tutorial.,I always made sure to read all the comments and to talk to the TA if anything isn't clear.,Disagree,I wouldn't say I didn't know the value or relevance of doing statistics before doing the course.,Neither agree nor disagree,I already have made infographics before and showcased statistical information. This was more of reinforcing rather than improvement.,I think the best advice is to be communicative and ensure everyone has a clear idea on where the group is going and what needs to be done.,My learning experience was good overall. A lot of these concepts were already taught to me before but it was good to reinforce them with this course.
5,4,learnt a lot about statistics in this course! professor and TAs are very knowledgeable and nice!,4,4,currently i know how to use R but not really familiar with the codes if I need to make a rmd file by myself.,4,Great professor and good pre-class content,5,TA explain the terms well!,I always made sure to read all the comments and to talk to the TA if anything isn't clear.,Strongly agree,This course do satisfy all the conditions mentioned above,Agree,"this activity is not really well organized, but it do helps me to better understand the course contents","i enjoy the weekly assignments to create different graphs, challeges will be the course contents, advise will be work early on the assignments.","i had a brief introduction on the use of R, and some basic ways to use different ways to calculate the statistics problems, overall i think it is a great course"
4,4,"I think my ability to communicate statistics have been improve after this course, since I’ve learnt lots of statistics methods and how statistics helps in daily life, moreover it gives me a clearer view of data.",4,4,"i think r is very useful in this course, it gives a table and histogram of the simulations, and in this course I’ve leant how to run each data without watching the video demonstration, and by the instruction applied i understood how the data works. Overall i think it is very helpful during my learning!",3,"I think I’ve a well understanding about each concepts in academic, but sometimes it is hard for me to apply the concept in the daliy.",4,I think the tutorial gives me better and deeper understanding of each concepts since we practice during class and the examples are all about application.,I read the comments.,Strongly agree,"I totally agree the statement, which i think the more examples we illustrated, the deeper understanding we will have after class, meanwhile the examples can shows a clearer view of how the formula or concepts works.",Strongly agree,I think the infographic assignment improved my ability to communicate the beat since the infographic directly shows us how the data looks like and it also tells us the trend and lots of information.,"i thinks the infographic assignment gives me a visual overview of the data, and worked with other students helped me to extend my knowledge and gives me many useful tips during the process. The infographic quiz that I’ve took helped me to reinforce the knowledge and skills.","in my opinion, this course is very helpful and it shows the basics idea of statistics, through the concepts of probability to the distribution of data, it fused the academic knowledge with simple examples that we can easily find in our daily life, so that we got the ability to apply the knowledge in reality. 

The overall learning experience is great that professor and tutor are patient and friendly! By the lectures and tutorial, also the assignments weekly, i think my statistic ability have been improved and I am more confident about how to deal with the data and applications."
2,4,"I rated myself a 4 because I feel like my ability to communicate statistical ideas has definitely improved. Before this course, I had a very basic understanding of how to explain stats-related things. But now, through assignments like the infographic and even tutorial discussions, I feel more confident interpreting data and explaining what it means in everyday terms. I'm still not perfect, but I’ve made clear progress.",1,4,"I gave myself a 4 because I started with almost zero experience using R, and now I feel pretty comfortable writing scripts, using functions, and interpreting outputs. The labs and assignments made me actually practice using R instead of just learning the theory. There were still times I needed help or had to Google things, but overall I can now navigate R much better.",4,"I found the weekly assignments really useful for reinforcing the concepts. They helped me apply what I learned in lectures and tutorials in a more practical way. Sometimes the questions were challenging, but that’s what pushed me to understand the concepts better. I usually had a good grasp by the time I finished each assignment.",5,"The tutorials were helpful because they gave me space to ask questions and work through problems with guidance. Sometimes I didn’t always grasp everything during the lecture, but the tutorials helped clarify things. I also appreciated seeing how others approached problems, it gave me different perspectives on solving them. I ALSO LOVED MY TA!! Shoutout to Yusuf!!",I always made sure to read all the comments and to talk to the TA if anything isn't clear.,Agree,"The course examples helped show how statistics is actually used in real life, whether it's analyzing survey data or understanding trends. That made me realize it’s not just about numbers but about making informed decisions and communicating data effectively. It felt more relevant than I expected going in.",Strongly agree,"I strongly agree because the infographic assignment made me think beyond just running stats—it was about how to present results clearly and meaningfully. It really challenged me to consider what the data is saying and how to communicate it visually in a way that’s easy to understand. It was a creative and practical experience. It was so flexible and fun to work on, and I loved every bit of my assignment. ","I enjoyed collaborating with my group and combining everyone’s strengths to make the infographic. It was fun picking the color scheme and layout, and seeing our final result come together. 

One challenge was making sure everyone was on the same page, especially when we had different ideas or timelines. We resolved this by setting up a group chat and dividing responsibilities clearly.

My advice to future students is to communicate early and often. Don’t wait until the last minute to get started. Use each person’s strength and be open to ideas.","This course gave me a much deeper understanding of statistics. I used to think stats was just about formulas, but now I see it’s about interpreting data, understanding variability, and thinking critically. I appreciated how the course blended R, real-life applications, and visual storytelling. Overall, the course helped me grow not just technically, but in how I think about data and communication. It was a challenging but rewarding experience."
5,5,I think the feedback from the homework assignments helped sharpen my ability to communicate statistics. I also think using R studio's graphs helped me communicate statistics visually.,5,4,The course gave me tons of hands-on experience with R in the homework assignments. Being able to follow through the R files given as templates gave me confidence in my understanding of the software.,5,I felt like the real world examples put the concepts into perspective for me. The weekly assignments were a great way for me to understand how these stats concepts applied to different fields of study. ,5,My TA always helped us understand the steps to different calculations and advised us on key things that she had learned about the different concepts. This was very helpful in my understanding of what we were taught. The questions in the tutorials were also great practice to refresh myself on how to apply the stats concepts. ,"I looked at the mark, then if it's lower than expected I look through the comments.",Neither agree nor disagree,"The examples were clear applications to real world scenarios and studies, which solidified the idea, for me, that statistics is a tool used everywhere that is important to understand.",Agree,I feel that the inforgraphic module videos were helpful in bringing to light different ways that infographics could be used to share information and what to avoid to reduce miscommunication in an infographic. ,"I enjoyed working on the visual design of the infographic. Canva is a fun tool to use and it was enjoyable to tweak the colours and fonts of my infographic. I was challenged in finding a cooperative group to work with initially, but I resolved this by asking different friends that were in this class and emailing my TA once I'd found a group I trusted. I would advise future students to communicate with their group members to ensure that they accomplish the task on time and incorporating everyone's ideas and work.",This course transformed abstract concepts into tangible tools I can apply to real world examples. This course strengthened my critical thinking as I came up with thoughtful answers to the purpose of the task prompts in the weekly assignments. The overall learning experience was satisfactory; the presence of online lecture videos was very helpful for me to digest the concepts at my own pace.
4,4,I would say this course helped me a lot with the ability to communicate statistics to my peers and others.,2,4,after doing many homework assignments I’ve felt like the R software has become easier to use and I have become more familiar with it,3,"The weekly assignment is helpful in some ways, but I would have to do more practice problems to really understand the topic",4,"The weekly tutorials were definitely the best part of this course, as it let me communicate with others about the weekly topics and helped me understand the course much more",I read the comments.,Agree,I think that this course has given me more insight on the importance of statistics,Agree,The infographic assignment has definitely helped me with the communication of statistics,"Throughout this course I have made a few new friends from the group work we have done in the tutorials. On the infographic, we all worked pretty well together as we have done so throughout the semester. Some challenges we faced include initially understanding the assignment. Some advice I would give would be to have proper communication with your group mates.",I think my overall learning experience has been great for my understanding of statistics
5,5,"I already felt confident communicating statistics before the course, and the course reinforced and refined that ability, confirming my top rating.",5,5,"I was already confident using R before the course, and the course helped solidify my skills through regular practice and applied projects.",5,"The weekly assignments helped reinforce each concept, and by applying them regularly, my understanding remained strong throughout the course.",5,"The tutorials helped clarify difficult concepts and provided hands-on practice, which strengthened my overall understanding.",I always made sure to read all the comments and to talk to the TA if anything isn't clear.,Strongly agree,"The real-world examples made the concepts more engaging and showed how statistics can be applied across different fields, which made the learning feel meaningful and practical.",Strongly agree,"The infographic assignment pushed me to simplify complex ideas and present data visually, which helped me better understand and explain statistical information.","I enjoyed brainstorming creative ways to visualize data with my group. One challenge we faced was coordinating our schedules, but we solved it by setting clear deadlines and using shared online tools. My advice to future students is to communicate early and often—clear roles and timelines make collaboration much smoother.","This course deepened my understanding of statistical concepts and their real-world applications. The hands-on assignments, especially the infographic, made the material more engaging and helped me build both technical and communication skills. Overall, the experience was practical, informative, and rewarding."
3,4,I learnt so many basic information about statistics.,3,3,I only learnt few things about R,3,The homework assignments did not really helped me a lot,4,My TA explain those concept for me pretty well,"I looked at the mark, then if it's lower than expected I look through the comments.",Agree,"It is basically a statistics realted course, I did learn a lot about statistics ",Strongly agree,"I met new friend in this assignment, and we cooperated pretty well",I strongly suggest that students in sta need to self study this first,I like sta more after I took this course
1,3,"I think I understand the concepts, but it may be difficult to explain them to another person.",1,3,I understand most of how files are used within R studio and R studio in general. But I am not sure if I would be to write my own R code  or fully predict what would happen if I ran code in general.,3,I think it was nice to see how statistics could be applied to actual results. I'm not sure if I could apply them without prompting questions.,3,I think I an follow through with the formulas but I don't think they're intuitive to use.,"I looked at the mark, then if it's lower than expected I look through the comments.",Agree,I could find the similarity to how situations were portrayed and how they could be used in general. Although I think I haven't gained total control over the ability to bridge that gap.,Agree,I could see how to make graphic design more visually clear and how certain elements could obstruct that.,"I didn't mind messaging students through external messaging software. It was fun seeing how other students went through with they're thinking process.

Some challenges were that my first group was unresponsive and Quercus was cumbersome to use for communication.

Some recommendations would be to use an external messaging app and allowing each individual to provide feedback on work so everyone can learn and improve.","I would say that it helped me learn the basics of how statistics could be used in the real world. I kind of wished that my lecture was more interactive with something like mathematize as it was a bit difficult to be engaged with the learning. 
I found the assignment videos pretty helpful for guidance through the assignments.

The TA for the tutorials was also very nice and helpful in learning how to apply formulas and understanding what the results meant."
4,4,"I would rate my ability as 4. After the course, I feel confident explaining statistical concepts clearly, though there's still room to improve with more practice.",4,4,"I would rate my ability as 4. I can confidently use R for data analysis and visualization, but I’m still learning some of the more advanced features.",4,"I would rate my understanding as 4. The weekly assignments helped reinforce key concepts, though a few topics required extra review to fully grasp.",4,"I would rate my understanding as 4. The tutorials clarified many concepts and provided helpful examples, though some complex topics still needed further review.",I took a quick look at the comments at the end.,Agree,"The examples showed how statistics apply to real-world situations, which made the material more engaging and meaningful.",Agree,"The infographic assignment helped me practice presenting statistical information in a clear and visually appealing way, improving my communication skills.","I enjoyed sharing ideas and creating the infographic as a team. Scheduling was a challenge, but we solved it with clear deadlines and shared docs. My advice: communicate early and divide tasks well.","This course gave me a solid foundation in statistics and showed me how it's used in real-world contexts. Overall, it was a clear and engaging learning experience."
3,4,"Before the course, I had a basic understanding of statistical concepts but struggled to explain them clearly, especially in writing or presentations. After completing the course, I feel better in using statistical terms accurately and interpreting results using appropriate language, especially with tools like R and when applying normal models. That’s why I rated myself a 3 going in and a 4 after the course.",1,4,because I learned a lot more about how to use R effectively. I became more familiar,3,"Some of the concepts were a bit difficult，

but with regular practice through the weekly assignments, I became more familiar and comfortable with them.",3,the tutorial teacher is very nice,"I looked at the mark, then if it's lower than expected I look through the comments.",Agree,useful,Agree,good,"What I enjoyed the most was working and exchanging ideas with my classmates. One of the main challenges we faced was communication and coordination, especially since everyone had busy schedules and different availability.","It deepened my understanding of statistics, not only helping me grasp theoretical knowledge, but also allowing me to recognize its wide range of applications in real life. I developed a clearer understanding of some core concepts, such as probability distributions and hypothesis testing."
4,4,I can actively communicate with classmates and my TA through learning statistics.,5,3,"R statistical software is very easy to use, although the language is still a bit difficult for me",3,"I feel like I can grasp the concepts of each module, even if they are a little difficult, but I can learn a lot from reviewing.",4,"I really like the tutorial, it's really useful, and my TA is really nice and kind, she  is always able to patiently help us answer questions.","I looked at the mark, then if it's lower than expected I look through the comments.",Agree,"Some of the examples in the course are combined with real-life examples, which helps me learn statistics better and have a deeper understanding.",Strongly agree,"The infographic assignment help us to collect those information and put them together, it can also improve our teamwork and common abilities.","I really like the art design part, it help me to relax to enjoy the statistics. The difficulty is getting team members with different opinions to share the same goals. It is recommended to communicate with team members patiently and friendly.",I feel that the learning experience is very special. I really like the combination of statistics and programming.
